Museum,Condition,AbsCoefFloor,AbsCoefCeiling,AbsCoefWalls,AbsAreaTotal,AbsAreaFloor,AbsAreaCeiling,AbsAreaWall,RT63,RT125,RT250,RT500,RT1K,RT2K,RT4K,RT8K,RTAverage,C63,C125,C250,C50,C1K,C2K,C4K,C8K,Caverage,STIrefpos,STI2,STI4,STI6,STI8,STI10,STI12,STI14,STIAverage,STITreble,rd,D2s,Lpas4,rc,Volume
M1,WL,0.09,0.07,0.01,16.191137,10.2591,4.706037,1.226,1.848571429,1.705714286,1.522857143,1.795714286,1.842857143,1.668571429,0.894285714,0.585714286,1.769047619,4.206703984,1.866090196,-1.101122736,-2.868724689,-3.434328476,-2.759110845,1.484456353,4.049497716,-3.020721337,0,0.56,0.48,0.45,0.42,0.41,0.38,0.38,0.44,0.44,3.94,1.83,57.56,0,374.75625
M1,WM,0.09,0.07,0.082,25.018337,10.2591,4.706037,10.0532,0.741428571,1.121428571,1.368571429,1.62,1.718571429,1.658571429,0.895714286,0.594285714,1.665714286,7.721005714,4.762365229,0.149423626,-2.333623602,-2.753511269,-2.911125793,1.374288879,4.102050963,-2.666086888,0,0.57,0.5,0.46,0.43,0.42,0.39,0.38,0.45,0.45,4.34,2.02,56.83,0,374.75625
M1,WH,0.09,0.07,0.704,101.275537,10.2591,4.706037,86.3104,0.918571429,0.707142857,0.908571429,0.851428571,0.852857143,0.842857143,0.582857143,0.474285714,0.849047619,7.412094064,6.966874667,2.989369189,3.802386525,2.723181406,2.940122329,6.18744201,7.015568191,3.155230087,0,0.7,0.6,0.52,0.49,0.45,0.41,0.39,0.508571429,0.51,8.36,3.72,51.81,14.22,374.75625
M2,CL,0.09,0.01,0.086,14.296253,7.5933,0.504933,6.19802,0.952857143,1.11,1.55,2.022857143,2.281428571,2.355714286,1.897142857,1.102857143,2.22,6.156128321,2.438035316,-1.841718359,-3.364679987,-4.344022153,-4.97496457,-3.57513789,-0.066026267,-4.227888903,0.6,0.5,0.44,0.39,0.4,0.35,0.31,0.29,0.382857143,0.38,0.9,2.66,56.68,84.01,352.04
M2,CM,0.09,0.14,0.086,20.860382,7.5933,7.069062,6.19802,0.597142857,0.554285714,0.895714286,1.161428571,1.222857143,1.217142857,1.084285714,0.76,1.20047619,9.774977107,5.502242265,1.241165668,-0.051880754,-0.735294899,-1.152627142,-0.299641984,2.17627011,-0.646600931,0.7,0.6,0.54,0.48,0.48,0.43,0.38,0.37,0.468571429,0.47,6.32,3.45,54.6,27.5,352.04
M2,CH,0.09,0.81,0.086,54.690893,7.5933,40.899573,6.19802,0.697142857,0.524285714,0.672857143,0.715714286,0.792857143,0.78,0.724285714,0.557142857,0.762857143,7.25809472,5.82128338,4.658825869,5.137870151,9.063017346,8.11375649,8.817304836,11.22332295,7.438214663,0.86,0.73,0.63,0.56,0.53,0.47,0.41,0.38,0.53,0.53,9.09,4.43,50.2,9.03,352.04
M2,FL,0.01,0.07,0.086,10.103779,0.8437,3.062059,6.19802,1.16875,1.71,3.27875,3.57125,3.175,2.66125,1.25375,0.67625,3.135833333,4.975375108,2.729518498,-5.158943884,-5.629330364,-5.036419203,-4.339824326,1.285773395,4.607321656,-5.001857964,0.57,0.47,0.41,0.36,0.35,0.32,0.27,0.26,0.348571429,0.35,0,2.19,58.67,0,352.04
M2,FM,0.09,0.07,0.086,17.325851,7.5933,3.534531,6.19802,0.978571429,1.09,1.394285714,1.682857143,1.784285714,1.715714286,1.06,0.631428571,1.727619048,6.300744688,2.573951867,-1.728837604,-4.177431835,-4.183828778,-3.975763118,0.807117106,3.586331131,-4.112341244,0.64,0.54,0.47,0.43,0.42,0.37,0.34,0.32,0.412857143,0.41,2.88,2.85,56.46,65.14,352.04
M2,FH,0.426,0.07,0.086,47.6585534,35.94162,5.5189134,6.19802,0.872222222,0.93,1.01,0.916666667,0.808888889,0.757777778,0.665555556,0.514444444,0.827777778,6.442521936,3.013515192,-0.736818439,-0.179512229,3.374926797,5.69924175,6.652711852,7.134188332,2.964885439,0.79,0.68,0.58,0.53,0.5,0.45,0.39,0.37,0.5,0.54,8.03,3.96,53.59,17.98,352.04
M2,WL,0.09,0.07,0.01,11.848531,7.5933,3.534531,0.7207,1.9,1.938571429,1.598571429,1.841428571,1.888571429,1.735714286,0.954285714,0.624285714,1.821904762,2.07940702,-0.25442297,-2.503386603,-4.320611812,-4.564479513,-3.680575821,0.88085204,3.75937731,-4.188555715,0.63,0.53,0.47,0.43,0.41,0.37,0.32,0.31,0.405714286,0.41,2.73,2.78,56.75,75.06,352.04
